season,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,year,caught_by,species
1,1969-09-13,21,TV Series,Black Knight,Male,Possessed Object,Suit,Object,False,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1969.0,Scooby,Object
1,1969-09-20,22,TV Series,Ghost of Cptn. Cuttler,Male,Ghost,Suit,Human,False,1,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1969.0,Shaggy,Humanoid
1,1969-09-27,21,TV Series,Phantom,Male,Ghost,Phantom,Human,False,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1969.0,Scooby,Humanoid
1,1969-10-04,21,TV Series,Miner 49'er,Male,Ancient,Miner,Human,False,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1969.0,Fred,Humanoid
1,1969-10-11,21,TV Series,Indian Witch Doctor,Female,Ancient,Witch Doctor,Human,False,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1969.0,Scooby,Humanoid
1,1969-10-18,21,TV Series,Ghost of Elias Kingston,Male,Ghost,Phantom,Human,False,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1969.0,Fred,Humanoid
1,1969-10-25,21,TV Series,Ape Man,Male,Animal,Half-Human,Ape,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1969.0,Fred,Animal
1,1969-11-01,21,TV Series,Charlie the Robot,Male,Mechanical,Humanoid,Robot,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1969.0,Unknown,Object
1,1969-11-08,21,TV Series,Puppet Master,Male,Ghost,Pupeteer,Human,False,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1969.0,Shaggy,Humanoid
1,1969-11-15,21,TV Series,Ghost Clown,Male,Ghost,Clown,Human,False,1,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1969.0,Scooby,Humanoid
1,1969-11-22,21,TV Series,"Werewolf,Dracula,Frankenstein's Monster","Male,Male,Male","Animal,Undead,Undead","Werewolf,Vampire,Frankenstein's Monster",Human,False,3,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1969.0,Scooby,Humanoid
1,1969-11-29,21,TV Series,Mummy of Ankha,Male,Undead,Mummy,Human,False,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,1969.0,Scooby,Humanoid
1,1969-12-06,21,TV Series,"Zombie,Witch","Male,Female","Undead,Magician","Zombie,Witch",Human,False,2,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1969.0,Fred,Humanoid
1,1969-12-13,22,TV Series,Ghost of Redbeard,Male,Ghost,Pirate,Human,False,1,False,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1969.0,Scooby,Humanoid
1,1969-12-20,21,TV Series,Spooky Space Kook,Male,Extraterrestrial,Phantom,Alien,False,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1969.0,Fred,Humanoid
1,1970-01-10,21,TV Series,"Green Ghost,Green Ghost","Male,Male","Ghost,Ghost","Phantom,Phantom",Human,False,2,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1970.0,Scooby,Humanoid
1,1970-01-17,21,TV Series,Snow Ghost,Male,Ghost,Snow,Yeti,False,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1970.0,Shaggy,Mythical
2,1970-09-12,21,TV Series,Ghost of Mr. Hyde,Male,Ghost,Split-Personality,Human,False,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1970.0,Fred,Humanoid
2,1970-09-19,21,TV Series,"Ghost of Zen Tuo,Scare Pair,Scare Pair","Male,Male,Male","Ghost,Ghost,Ghost","Zombie,Zombie,Zombie",Human,False,3,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1970.0,Fred,Humanoid
2,1970-09-26,21,TV Series,Caveman,Male,Ancient,Caveman,Human,False,1,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1970.0,Scooby,Humanoid
2,1970-10-03,21,TV Series,Creeper,Male,Ghost,Phantom,Human,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1970.0,Scooby,Humanoid
2,1970-10-10,21,TV Series,Headless Specter,Male,Ghost,Headless,Human,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,Scooby,Humanoid
2,,21,TV Series,"Witch Doctor,Mano Tiki Tia","Female,Male","Ancient,Possessed Object","Witch Doctor,Statue",Human,False,2,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,,Scooby,Humanoid
2,,21,TV Series,"Witch Doctor,Mano Tiki Tia","Female,Male","Ancient,Possessed Object","Witch Doctor,Statue",Object,False,2,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,,Scooby,Object
2,1970-10-24,21,TV Series,Werewolf,Male,Animal,Werewolf,Human,False,1,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,Scooby,Humanoid
2,1970-10-31,21,TV Series,Wax Phantom,Male,Ghost,Statue,Human,False,1,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1970.0,Fred,Humanoid
1,,43,TV Series,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus",Cactus,False,2,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,Scooby,Plant
1,,43,TV Series,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus",Human,False,2,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,Scooby,Humanoid
1,,43,TV Series,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus",Robot,False,2,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,Scooby,Object
1,,43,TV Series,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus",Bat,False,2,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,Scooby,Animal
1,1972-09-16,41,TV Series,"Hooded Man,Skeletons","Male,Male","Disguised,Skeleton","Hooded,Humaniod",Human,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,1972.0,Other,Humanoid
1,1972-09-23,41,TV Series,The Vulture,Female,Animal,Bird,Vulture,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,Fred,Animal
1,1972-09-30,43,TV Series,Scarecrow,Male,Possessed Object,Scarecrow,Human,False,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1972.0,Fred,Humanoid
